S-10B
S-29A Kaldi 3 17.40506329113924 S:28, I:1, D:26
S-29A Google 4 32.04633204633205 S:40, I:6, D:120
S-29A Kaldi 4 17.953667953667953 S:41, I:13, D:39
S-29A Google 5 26.568265682656826 S:23, I:2, D:47
S-29A Kaldi 5 14.391143911439114 S:16, I:3, D:20
S-29A Google 6 29.72972972972973 S:0, I:0, D:11
S-29A Kaldi 6 18.91891891891892 S:3, I:0, D:4
S-29A Google 7 27.058823529411764 S:8, I:0, D:15
S-29A Kaldi 7 23.529411764705884 S:14, I:1, D:5
S-29A Google 8 20.0 S:5, I:0, D:10
S-29A Kaldi 8 17.333333333333332 S:8, I:3, D:2
S-29A Google 9 47.61904761904762 S:9, I:0, D:11
S-29A Kaldi 9 19.047619047619047 S:3, I:0, D:5
S-29A Google 10 31.428571428571427 S:7, I:1, D:14
S-29A Kaldi 10 20.0 S:8, I:0, D:6
S-29A Google 11 25.0 S:2, I:0, D:11
S-29A Kaldi 11 34.61538461538461 S:9, I:0, D:9
S-14B
S-14B Google 0 43.31395348837209 S:64, I:1, D:84
S-14B Kaldi 0 30.813953488372093 S:64, I:12, D:30
S-14B Google 1 43.342776203966004 S:66, I:1, D:86
S-14B Kaldi 1 31.728045325779036 S:58, I:6, D:48
S-14B Google 2 39.75535168195719 S:66, I:3, D:61
S-14B Kaldi 2 28.440366972477065 S:58, I:6, D:29
S-14B Google 3 55.24475524475525 S:39, I:0, D:40
S-14B Kaldi 3 43.35664335664335 S:44, I:4, D:14
S-14B Google 4 44.72049689440994 S:63, I:2, D:79
S-14B Kaldi 4 29.503105590062113 S:56, I:9, D:30
S-14B Google 5 34.8936170212766 S:73, I:5, D:86
S-14B Kaldi 5 22.340425531914892 S:64, I:7, D:34
S-14B Google 6 41.42857142857143 S:7, I:0, D:22
S-14B Kaldi 6 25.714285714285715 S:12, I:0, D:6
S-14B Google 7 31.914893617021278 S:6, I:1, D:23
S-14B Kaldi 7 35.1063829787234 S:21, I:3, D:9
S-14B Google 8 33.333333333333336 S:2, I:0, D:9
S-14B Kaldi 8 27.272727272727273 S:4, I:0, D:5
S-32D
S-32D Google 0 52.36220472440945 S:50, I:8, D:75
S-32D Kaldi 0 42.125984251968504 S:50, I:23, D:34
S-32D Google 1 40.063091482649845 S:38, I:0, D:89
S-32D Kaldi 1 24.9211356466877 S:40, I:3, D:36
S-32D Google 2 49.80544747081712 S:44, I:0, D:84
S-32D Kaldi 2 40.07782101167315 S:55, I:7, D:41
S-32D Google 3 43.40277777777778 S:27, I:0, D:98
S-32D Kaldi 3 20.833333333333332 S:31, I:2, D:27
S-32D Google 4 58.19397993311037 S:33, I:0, D:141
